class,ERR1754760,ERR1754761,ERR1754762,ERR1754763,ERR1754764,ERR1754765,ERR1754766,ERR1754767,ERR1754768,ERR1754769
sk__Bacteria;p__Chlamydiae;c__Chlamydiia,86.0,80.0,78.0,98.0,127.0,36.0,177.0,178.0,58.0,158.0
sk__Bacteria;p__Chloroflexi;c__,368.0,459.0,187.0,723.0,853.0,277.0,736.0,471.0,268.0,506.0
sk__Bacteria;p__Chloroflexi;c__Anaerolineae,596.0,494.0,187.0,917.0,590.0,368.0,838.0,679.0,344.0,1184.0
sk__Bacteria;p__Chloroflexi;c__Anaerolineae,596.0,494.0,187.0,917.0,590.0,368.0,838.0,679.0,344.0,1184.0
sk__Bacteria;p__Chloroflexi;c__Anaerolineae,596.0,494.0,187.0,917.0,590.0,368.0,838.0,679.0,344.0,1184.0
sk__Bacteria;p__Chloroflexi;c__Ardenticatenia,27.0,27.0,7.0,41.0,30.0,24.0,41.0,13.0,9.0,63.0
sk__Bacteria;p__Chloroflexi;c__Caldilineae,198.0,167.0,35.0,209.0,261.0,126.0,296.0,225.0,79.0,436.0
sk__Bacteria;p__Chloroflexi;c__Caldilineae,198.0,167.0,35.0,209.0,261.0,126.0,296.0,225.0,79.0,436.0
sk__Bacteria;p__Chloroflexi;c__Chloroflexia,177.0,79.0,37.0,376.0,219.0,43.0,294.0,328.0,153.0,552.0
sk__Bacteria;p__Chloroflexi;c__Chloroflexia,177.0,79.0,37.0,376.0,219.0,43.0,294.0,328.0,153.0,552.0
sk__Bacteria;p__Chloroflexi;c__Dehalococcoidia,81.0,193.0,78.0,123.0,251.0,87.0,261.0,166.0,71.0,96.0
sk__Bacteria;p__Chloroflexi;c__Ktedonobacteria,23.0,14.0,12.0,26.0,20.0,6.0,57.0,21.0,29.0,17.0
sk__Bacteria;p__Chloroflexi;c__Ktedonobacteria,23.0,14.0,12.0,26.0,20.0,6.0,57.0,21.0,29.0,17.0
sk__Bacteria;p__Chloroflexi;c__Thermomicrobia,45.0,14.0,7.0,28.0,31.0,8.0,33.0,76.0,36.0,24.0
sk__Bacteria;p__Chloroflexi;c__Thermomicrobia,45.0,14.0,7.0,28.0,31.0,8.0,33.0,76.0,36.0,24.0
